epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9302,2.59651,3.80797,1.50439,0.0027,0.08989,0.02559,0.00813,2.20658,3.87831,1.31864,3.334e-05,3.334e-05,3.334e-05
2,53.7439,2.27533,3.73803,1.35349,0.0048,0.12506,0.06526,0.02883,1.80944,3.70781,1.06446,6.68467e-05,6.68467e-05,6.68467e-05
3,79.7215,2.18391,3.63089,1.22824,0.00879,0.18304,0.05661,0.02693,1.63027,3.6534,0.9858,8.05494e-05,8.05494e-05,8.05494e-05
4,106.086,1.87874,3.37978,1.10852,0.01388,0.24094,0.07065,0.03567,1.58361,3.64113,0.96423,7.44482e-05,7.44482e-05,7.44482e-05
5,133.935,1.90956,3.30616,1.09636,0.01425,0.24971,0.08296,0.04218,1.56765,3.63736,0.95859,4.8543e-05,4.8543e-05,4.8543e-05
