epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2854,5.02858,7.71095,2.76548,0.00117,0.02011,0.0061,0.00562,3.73921,7.2418,2.06883,8e-05,8e-05,8e-05
2,72.9866,4.03823,7.04825,2.1909,0.00617,0.10632,0.01069,0.0063,3.46315,7.10367,1.9561,0.00014436,0.00014436,0.00014436
3,106.55,3.63841,6.09241,2.0067,0.0095,0.16379,0.0215,0.00947,3.1821,6.88048,1.84943,0.00016912,0.00016912,0.00016912
4,142.434,3.40513,5.24261,1.89824,0.00733,0.12644,0.01325,0.00709,3.47628,6.82964,1.91834,0.00015428,0.00015428,0.00015428
5,181.818,3.42359,5.02794,1.88712,0.00833,0.14368,0.01385,0.00696,2.77902,6.66582,1.78459,9.984e-05,9.984e-05,9.984e-05
