epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.831,5.03922,8.44319,2.78656,0.01442,0.02381,0.01929,0.01222,3.80602,7.99065,2.11131,6.668e-05,6.668e-05,6.668e-05
2,71.2328,4.12431,8.01031,2.25879,0.07393,0.06341,0.05117,0.0347,3.25967,7.85708,1.90307,0.000120324,0.000120324,0.000120324
3,101.422,3.66915,7.31771,2.02961,0.03157,0.15297,0.04838,0.02972,2.91867,7.67093,1.80439,0.000140962,0.000140962,0.000140962
4,132.114,3.40307,6.59628,1.90869,0.03353,0.17494,0.05737,0.03397,2.93573,7.61023,1.81199,0.000128592,0.000128592,0.000128592
5,165.684,3.42877,6.41873,1.89647,0.02484,0.22581,0.08827,0.04072,2.6349,7.48668,1.74432,8.32166e-05,8.32166e-05,8.32166e-05
