epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.6426,2.41479,3.79336,1.45769,0.50234,0.25191,0.19188,0.09264,1.95432,2.02122,1.18405,6.668e-05,6.668e-05,6.668e-05
2,103.886,1.96214,2.07383,1.22022,0.22261,0.74212,0.40828,0.18774,1.62458,2.81635,1.05457,0.00010052,0.00010052,0.00010052
3,157.358,1.72287,1.48726,1.08892,0.33274,0.73383,0.55904,0.28545,1.46092,2.89647,1.00514,7.93492e-05,7.93492e-05,7.93492e-05
