epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3467,2.41547,3.41642,1.40971,0.29682,0.47126,0.28457,0.1177,1.85159,2.64996,1.10059,8e-05,8e-05,8e-05
2,102.556,1.91769,1.92724,1.16388,0.34562,0.28161,0.24816,0.09728,2.04868,3.0983,1.16102,0.0001206,0.0001206,0.0001206
3,158.439,1.66001,1.41083,1.03918,0.47195,0.60057,0.5027,0.24258,1.68581,3.29881,1.05112,9.52e-05,9.52e-05,9.52e-05
