epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4829,2.59753,3.54907,1.50489,0.00817,0.1408,0.00513,0.00243,2.17114,3.53788,1.29813,4e-05,4e-05,4e-05
2,53.6252,2.24181,3.47265,1.33225,0.01783,0.30747,0.01983,0.00958,1.74801,3.35967,1.03848,8.02e-05,8.02e-05,8.02e-05
3,78.2988,2.13158,3.34405,1.19973,0.02183,0.37644,0.08397,0.03465,1.60325,3.31113,0.97084,9.664e-05,9.664e-05,9.664e-05
4,105.679,1.8697,3.08735,1.09383,0.0265,0.4569,0.18348,0.07551,1.64791,3.29288,0.96964,8.932e-05,8.932e-05,8.932e-05
5,132.972,1.89247,2.97167,1.07463,0.028,0.48276,0.23645,0.09356,1.6718,3.29091,0.97623,5.824e-05,5.824e-05,5.824e-05
